Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.8852459016393442,0.8787878787878788,0.90625,0.8923076923076924,0.9213362068965516
Random Forest,0.9016393442622951,0.9642857142857143,0.84375,0.9,0.9439655172413793
SVM,0.9016393442622951,0.9333333333333333,0.875,0.9032258064516129,0.9407327586206896
